item_description,total_sales,cumulative_sales,revenue_share,segment
BASIL HAYDEN BOURBON 6/C - 750ML,774.41,613023.2100000005,0.59452292297097,A
COORS 30PK CAN - 12OZ,773.6,613796.8100000005,0.5952731766737789,A
WOODBRIDGE CHARD - 1.5L,772.47,614569.2800000005,0.596022334478599,A
BUD LIGHT LIME 4/6 NR - 12OZ,765.0,615334.2800000005,0.596764247718838,A
JAMESON IRISH WHISKEY - 1.75L,763.41,616097.6900000005,0.5975046189433227,A
STELLA CIDRE 4/6 NR,750.29,616847.9800000006,0.5982322661132821,A
FLYING DOG SNAKE DOG 4/6 NR - 12OZ,749.3199999999999,617597.3000000005,0.5989589725566492,A
BUSCH LT 30PK CAN - 12OZ,743.97,618341.2700000005,0.5996804904564408,A
RITAS MANGO-O-RITA 15/25OZ CAN,740.94,619082.2100000004,0.6003990697979082,A
SKYY VODKA - 1.75L,739.4100000000001,619821.6200000005,0.6011161653128954,A
AMSTEL LIGHT 4/6 NR - 12OZ,739.13,620560.7500000005,0.6018329892779383,A
SUTTER HOME WH/ZIN - 187ML,736.68,621297.4300000005,0.60254743718097,A
FRANZIA CHARD BIB - 5L,732.25,622029.6800000005,0.6032575887759569,A
ANGRY ORCHARD ROSE 4/6 NR,728.66,622758.3400000005,0.6039642587127315,A
ICEHOUSE 30PK CAN - 12OZ,728.0,623486.3400000005,0.6046702885674948,A
BECKS 4/6 NR - 12OZ,717.72,624204.0600000005,0.6053663486600234,A
BLACK BOX MONTEREY CHARD BIB - 3L,716.64,624920.7000000005,0.6060613613456245,A
MONTEZUMA TEQUILA - GOLD - 1L,716.03,625636.7300000006,0.6067557824402758,A
MILLER LITE 1/2K,715.0,626351.7300000006,0.6074492046190613,A
JIM BEAM WHITE - 1.75L,709.8399999999999,627061.5700000005,0.6081376225203047,A
CORONA LIGHT 2/12 CANS - 12OZ,705.0,627766.5700000005,0.6088213464867994,A
WOODBRIDGE CHARD 24/CS - 187ML,702.35,628468.9200000005,0.6095025004270371,A
